id	name	c_10	h_index	Q	paper	citations	IndexBestPaper	TitleBestPaper	JournalBestPaper	YearBestPaper
52297	A. D. Bacher	13.0	19	2.81	48	2 2 7 21 6 8 11 8 5 9 2 13 16 53 18 23 5 1 17 29 3 16 31 92 5 3 5 13 78 14 6 3 25 35 5 8 4 0 25 3 0 4 1 1 5 31 1	24	Elastic scattering of 80-180 MeV protons and the proton-nucleus optical potential	PRC	1981
52317	F. D. Mcdaniel	5.47	10	1.8	34	2 1 2 8 13 15 10 7 5 12 21 2 4 1 6 20 6 13 2 6 4 2 4 0 3 3 1 4 3 1 2 0 2	11	Projectile charge-state dependence of K-shell ionization by silicon ions: A comparison of Coulomb ionization theories for direct ionization and electron capture with x-ray production data	PRA	1977
52377	Rabindra Nath Mohapatra	16.2	32	3.56	159	23 6 19 2 2 4 1 0 13 9 7 3 50 4 9 11 8 13 13 5 4 16 4 140 4 1 4 66 18 99 2 2 9 24 2 3 3 2 50 74 9 29 10 27 10 3 7 14 7 9 25 105 65 13 1 1 25 100 1 13 14 7 10 10 0 19 10 26 3 15 31 31 6 3 34 1 2 13 7 24 2 7 1 5 14 18 24 5 19 5 3 1 12 10 2 40 3 9 18 2 15 17 0 23 23 2 20 20 23 9 6 8 10 6 12 18 2 10 6 3 2 11 16 21 17 42 2 1 89 29 5 7 5 3 24 2 2 6 24 33 2 31 11 21 46 25 7 0 36 2 14 12 20 16 23 4 24 26	24	Left-right gauge symmetry and an "isoconjugate" model of CP violation	PRD	1975
52453	R. H. Pratt	6.35	19	1.85	122	3 5 14 9 6 2 9 4 7 1 2 6 17 8 2 6 3 19 0 11 27 18 20 12 3 8 44 4 1 2 4 3 8 8 8 28 1 16 7 8 11 2 2 5 11 10 6 4 12 3 4 8 18 3 28 0 4 9 2 3 2 10 1 4 10 0 5 11 2 10 3 4 1 2 8 3 9 3 6 1 3 2 0 0 11 3 2 4 3 0 3 6 5 3 2 13 1 2 4 0 5 2 11 6 2 3 1 0 1 20 5 6 26 3 6 1 1 2 1 0 2	27	Atomic Photoelectric Effect Above 10 keV	RMP	1973
52477	A. W. Ewald	6.53	8	2.17	13	2 2 6 3 2 8 12 16 8 10 11 0	8	Optical Constants of Single-Crystal Gray Tin in the Infrared	PR	1964
52488	Eiichi Takasugi	3.75	7	1.3	33	0 5 9 7 11 20 1 6 4 0 0 0 1 1 5 13 0 9 3 1 4 2 2 0 0 4 3 1 4 4 1 0	6	New narrow boson resonances and SU(4) symmetry: Selection rules, SU(4) mixing, and mass formulas	PRD	1975
52528	S. E. Barnes	5.59	8	1.71	27	14 11 0 6 5 1 4 8 0 27 19 3 2 6 2 3 8 2 12 6 1 0 4 1 1 0	10	Theory of Josephson-Type Oscillations in a Moving Charge-Density Wave	PRL	1983
52660	E. M. Bernstein	4.8	9	1.41	45	7 2 11 8 7 2 9 3 7 9 2 2 2 1 5 7 2 2 4 0 2 0 0 2 4 1 5 0 1 0 0 3 1 1 39 1 32 12 3 4 18 5 9 7	35	Resonant Behavior in the Projectile X-Ray Yield Associated with Electron Capture in S + Ar Collisions	PRL	1982
52710	B. M. Preedom	10.1	15	2.87	20	21 29 4 5 7 12 7 3 12 6 40 9 7 3 15 14 5 14 13	11	Shell-Model Calculations for ^{22}Na and ^{22}Ne	PRC	1972
52801	T. V. Ramakrishnan	50.7	19	5.81	35	23 1 10 2 4 6 62 388 79 11 19 84 27 39 76 63 11 11 2 627 13 14 19 3 2 20 2 29 10 7 12 56 12 22	20	Disordered electronic systems	RMP	1985
52830	Abdelwahab Ghazali	11.8	9	2.88	19	7 14 0 13 8 16 40 15 6 17 4 51 10 0 9 7 4 2	13	Analytical results for semiconductor quantum-well wire: Plasmons, shallow impurity states, and mobility	PRB	1990
53009	John M. Dawson	7.25	14	1.61	62	2 0 7 2 22 12 5 3 2 36 9 8 0 0 6 8 2 2 4 2 2 0 0 10 5 48 1 0 1 1 3 1 12 2 0 0 1 0 6 5 0 1 26 0 1 13 39 6 1 1 38 17 33 1 13 4 4 3 0 1 8	26	Laser Electron Accelerator	PRL	1979
53087	Pierre Glorieux	13.1	10	3.38	23	2 4 2 24 18 19 3 3 5 23 29 24 29 21 49 4 5 7 11 7 4 5	15	Controlling unstable periodic orbits by a delayed continuous feedback	PRE	1994
53094	J. W. Olness	7.73	16	2.27	89	3 5 6 2 8 5 15 6 13 2 29 7 5 9 18 23 5 6 2 2 9 6 7 51 5 11 8 4 15 4 12 12 5 7 1 2 0 4 3 3 8 4 3 9 10 1 19 4 0 17 9 14 13 8 2 4 4 2 5 6 9 8 4 0 5 0 1 9 4 1 2 11 36 1 2 12 7 19 1 11 11 0 8 16 0 4 15 7	24	Nuclear Structure of Na^{22}.I. Gamma-Ray Correlations and Lifetime Measurements for Levels of E_{ex}&lt;3.1 MeV	PR	1967
53146	Albert Wattenberg	6.94	15	2.11	35	0 23 17 11 17 0 7 1 6 13 8 14 2 0 5 5 4 13 13 12 3 2 13 10 4 1 6 2 3 12 5 5 5 1	38	Observation of a Narrow Antibaryon State at 2.26 GeV/c^{2}	PRL	1976
53359	David K. Campbell	14.2	18	3.32	50	4 21 13 8 1 8 21 12 2 3 7 1 64 22 12 62 6 30 41 16 7 8 40 5 4 26 13 18 25 17 34 3 6 10 37 7 4 9 7 0 3 5 13 2 0 37 17 2 0	13	Solitons in polyacetylene and relativistic-field-theory models	PRB	1981
53500	D. W. Martin	5.86	11	1.94	30	11 0 6 0 3 4 9 4 0 5 9 1 2 5 9 14 1 3 4 14 11 9 9 14 7 0 2 11 7	20	Mobilities of Mass-Identified H_{3}^{+} and H^{+} Ions in Hydrogen	PR	1968
53531	J. W. Jury	6.3	9	2.12	26	0 7 3 13 21 5 15 11 4 10 6 11 7 2 3 6 7 14 3 2 3 2 3 4 2	5	Photonuclear cross sections for ^{18}O	PRC	1979
53600	J. D. Litster	14.1	19	3.46	47	29 51 31 13 17 11 23 15 2 22 12 14 7 31 29 10 21 9 3 10 6 9 25 8 39 3 32 12 14 9 55 39 4 9 0 7 1 5 7 4 1 1 1 7 3 1	31	Orientational and positional order in a tilted hexatic liquid-crystal phase	PRL	1986
53712	W Y. Pauchy Hwang	3.97	8	1.39	43	21 0 4 2 1 8 7 5 1 5 6 3 1 2 0 4 5 6 2 5 11 0 0 4 2 10 2 3 1 3 0 0 1 9 6 8 2 0 0 6 6 0	1	Beta decay and muon capture in the A=12 nuclei: Second-class currents and conserved-vector current	PRC	1977
53772	Quentin C. Kessel	9.14	10	2.42	27	13 18 22 40 15 19 10 10 6 28 10 10 7 5 5 2 2 2 0 6 4 2 2 7 2 0	3	Coincidence Measurements of Large-Angle Ar^{+}-on-Ar Collisions	PR	1966
53852	Georges E. Durand	7.66	13	2.35	30	6 16 1 4 17 6 4 11 7 6 0 1 16 0 18 11 6 12 11 4 4 4 21 2 14 11 13 10 3	23	Disorientation-induced disordering at a nematic-liquid-crystal–solid interface	PRA	1992
